,State,City,Location,Store Type,Address,Endpoint
217,New Jersey,Atlantic City,ATLANTIC CITY TANGER,Gap Factory Store,"102 N Michigan Avenue 260,Atlantic City, NJ 08401-4119",https://www.gap.com/stores/nj/atlanticcity/
218,New Jersey,Blackwood,GLOUCESTER PREMIUM,Gap Factory Store,"100 Premium Outlets Drive Ste 660,Blackwood, NJ 08012-3870",https://www.gap.com/stores/nj/blackwood/
219,New Jersey,Bridgewater,Somerset S/C,Gap Factory Store,"395 Us-202 ,Bridgewater, NJ 08807",https://www.gap.com/stores/nj/bridgewater/
220,New Jersey,Cherry Hill,TOWNE PLACE @ GSPARK,"Gap,babyGap,GapKids,GapBody","941 Haddonfield Road Ste A-3,Cherry Hill, NJ 08002-2731",https://www.gap.com/stores/nj/cherryhill/
221,New Jersey,Chester,STREETS OF CHESTER,"Gap,babyGap,GapKids","300 Us Hwy 206 ,Chester, NJ 07930-2008",https://www.gap.com/stores/nj/chester/
222,New Jersey,Chester,Athleta,,"270 Us-206 Chester, Nj 07930 United States ,Chester, NJ 07930",https://www.gap.com/stores/nj/chester/
223,New Jersey,Denville,SHOPPES @ UNION HILL,"Gap,babyGap,GapKids,GapBody","3056 State Route 10 Ste M,Denville, NJ 07834-3423",https://www.gap.com/stores/nj/denville/
224,New Jersey,Edgewater,CITYPL@THE PROMENADE,"Gap,babyGap,GapKids","25 Promenade A-5,Edgewater, NJ 07020",https://www.gap.com/stores/nj/edgewater/
225,New Jersey,Elizabeth,JERSEY GARDENS,Gap Factory Store,"651 Kapkowski Road Space #260,Elizabeth, NJ 07201",https://www.gap.com/stores/nj/elizabeth/
226,New Jersey,Jackson,JACKSON PREMIUM,Gap Factory Store,"537 Monmouth Rd Ste 100,Jackson, NJ 08527-5363",https://www.gap.com/stores/nj/jackson/
227,New Jersey,Newark,NEWARK - MARKET ST,Gap Factory Store,"141 Market Street ,Newark, NJ 07102-2810",https://www.gap.com/stores/nj/newark/
228,New Jersey,North Bergen,COLUMBIA PARK CENTER,Gap Factory Store,"3111 Kennedy Blvd ,North Bergen, NJ 07047-2379",https://www.gap.com/stores/nj/northbergen/
229,New Jersey,Paramus,GARDEN STATE PLAZA,"Gap,babyGap,GapKids,GapBody","1 Garden State Plaza Space L1/l4,Paramus, NJ 07652",https://www.gap.com/stores/nj/paramus/
230,New Jersey,Paramus,BERGEN TC OUTLETS,Gap Factory Store,"640 Bergen Town Center Space 30,Paramus, NJ 07652",https://www.gap.com/stores/nj/paramus/
231,New Jersey,Princeton,PRINCETON MARKETFAIR,"Gap,babyGap,GapKids,GapBody","3535 Us Highway 1 Suite 116,Princeton, NJ 08540-5901",https://www.gap.com/stores/nj/princeton/
232,New Jersey,Sea Girt,BROOK 35 PLAZA,"Gap,GapKids,GapBody","2150 Highway 35 D-1,Sea Girt, NJ 08750",https://www.gap.com/stores/nj/seagirt/
233,New Jersey,Short Hills,SHORT HILLS MALL,"Gap,babyGap,GapKids","1200 Morris Turnpike D-123,Short Hills, NJ 07078-2746",https://www.gap.com/stores/nj/shorthills/
234,New Jersey,Shrewsbury,GROVE (THE),"1969,Gap,babyGap,GapKids,GapBody","591 Broad St ,Shrewsbury, NJ 07702-4150",https://www.gap.com/stores/nj/shrewsbury/
235,New Jersey,Tinton Falls,JERSEY SHORE PREMIUM,Gap Factory Store,"One Premium Outlets Blvd Ste 599,Tinton Falls, NJ 07753",https://www.gap.com/stores/nj/tintonfalls/
236,New Jersey,Watchung,WATCHUNG SQUARE,Gap Factory Store,"1515 Us Highway Rt 22 ,Watchung, NJ 07069-6516",https://www.gap.com/stores/nj/watchung/
237,New Jersey,Wayne,WILLOWBROOK - NJ,"Gap,babyGap,GapKids,GapBody","1400 Willowbrook Mall Ste 1104,Wayne, NJ 07470-6905",https://www.gap.com/stores/nj/wayne/
238,New Jersey,Westfield,E BROAD ST-WESTFLD,"Gap,babyGap,GapKids,GapBody","207 East Broad Street ,Westfield, NJ 07090-2119",https://www.gap.com/stores/nj/westfield/
239,New Jersey,Woodcliff Lake,TICE'S CORNER,"Gap,GapKids,GapBody","423 Chestnut Ridge Road Ste #10,Woodcliff Lake, NJ 07677-7679",https://www.gap.com/stores/nj/woodclifflake/
240,New Mexico,Albuquerque,ABQ UPTOWN,"Gap,babyGap,GapKids,GapBody","2240 Q Street Ne Suite 10q,Albuquerque, NM 87110",https://www.gap.com/stores/nm/albuquerque/
