,State,City,Location,Store Type,Address,Endpoint
335,Virginia,Charlottesville,BARRACKS RD S/C,Shoes,"1044 Emmet St N ,Charlottesville, VA 22903-4833",https://bananarepublic.gap.com/stores/va/charlottesville/
336,Virginia,Leesburg,LEESBURG PREMIUM,"Factory Store,Petites","241 Fort Evans Road Ne Ste 441,Leesburg, VA 20176",https://bananarepublic.gap.com/stores/va/leesburg/
337,Virginia,Norfolk,NORFOLK PREMIUM,Factory Store,"1600 Premium Outlets Blvd Suite 850,Norfolk, VA 23502",https://bananarepublic.gap.com/stores/va/norfolk/
338,Virginia,Richmond,SHORT PUMP T/C,,"11800 West Broad St ,Richmond, VA 23233-1064",https://bananarepublic.gap.com/stores/va/richmond/
339,Virginia,Tysons,Tysons Corner Center,"Baby,Shoes","7937 Tysons Corner Center ,Tysons, VA 22102",https://bananarepublic.gap.com/stores/va/tysons/
340,Virginia,Williamsburg,WILLIAMSBURG PREMIUM,"Factory Store,Petites,Women's Only,Men's Only","5707-6 Richmond Road ,Williamsburg, VA 23188-1991",https://bananarepublic.gap.com/stores/va/williamsburg/
341,Virginia,Woodbridge,POTOMAC MILLS,"Factory Store,Petites","2700 Potomac Mills Cir Ste #790,Woodbridge, VA 22192-4625",https://bananarepublic.gap.com/stores/va/woodbridge/
342,Washington,Auburn,OUTLT COLLCT SEATTLE,"Factory Store,Petites","1101 Outlet Collection Way Ste 1134,Auburn, WA 98001-6530",https://bananarepublic.gap.com/stores/wa/auburn/
343,Washington,Bellevue,Bellevue Square - WA,,"208 Bellevue Sq ,Bellevue, WA 98004-5020",https://bananarepublic.gap.com/stores/wa/bellevue/
344,Washington,North Bend,NORTH BEND,"Factory Store,Women's Only,Men's Only","421 S Fork Avenue Sw ,North Bend, WA 98045-8975",https://bananarepublic.gap.com/stores/wa/northbend/
345,Washington,Seattle,University Village,BR Home,"4613 26th Ave Ne ,Seattle, WA 98105",https://bananarepublic.gap.com/stores/wa/seattle/
346,Washington,Spokane,RIVERPARK SQUARE,,"722 W Main Ave Ste 115,Spokane, WA 99201",https://bananarepublic.gap.com/stores/wa/spokane/
347,Washington,Tulalip,SEATTLE PREMIUM,"Factory Store,Petites","10600 Quilceda Boulevard Ste 234,Tulalip, WA 98271-8091",https://bananarepublic.gap.com/stores/wa/tulalip/
348,Wisconsin,Appleton,FOX RIVER,Shoes,"4301 W Wisconsin Avenue ,Appleton, WI 54913",https://bananarepublic.gap.com/stores/wi/appleton/
349,Wisconsin,Johnson Creek,JOHNSON CREEK,"Factory Store,Women's Only,Men's Only","622 Linmar Lane Ste D-60,Johnson Creek, WI 53038-9430",https://bananarepublic.gap.com/stores/wi/johnsoncreek/
350,Wisconsin,Madison,WEST TOWN - WI,Shoes,"32 West Town Mall Space B8,Madison, WI 53719",https://bananarepublic.gap.com/stores/wi/madison/
351,Wisconsin,Pleasant Prairie,PLEASANT PRAIRIE PRE,"Factory Store,Petites","11211 120th Avenue Spaces 42 & 43,Pleasant Prairie, WI 53158-1703",https://bananarepublic.gap.com/stores/wi/pleasantprairie/
352,Wisconsin,Wauwatosa,Mayfair - WI,,"2500 North Mayfair Road Space #020,Wauwatosa, WI 53226",https://bananarepublic.gap.com/stores/wi/wauwatosa/
353,Puerto Rico,Barceloneta,PUERTO RICO PREMIUM,"Factory Store,Petites","1 Prime Outlets Blvd Ste 360,Barceloneta, PR 00617-3375",https://bananarepublic.gap.com/stores/pr/barceloneta/
354,Puerto Rico,San Juan,Plaza Las Americas,,"525 Ave F D Roosevelt ,San Juan, PR 00918",https://bananarepublic.gap.com/stores/pr/sanjuan/
355,Puerto Rico,San Juan,MALL OF SAN JUAN,,"1000 Mall Of San Juan Blvd Ste 164,San Juan, PR 00924-4089",https://bananarepublic.gap.com/stores/pr/sanjuan/
