Unnamed: 0,Review_ID,Review_Text,Filled_Stars,Review_Time,filename
8,ChZDSUhNMG9nS0VJQ0FnSUNXcTZhRUN3EAE,Nice store and selection.. Quite pricey so didn't buy. Not sure where outlet pricing was..,4,2022,Massachusetts_Wrentham_WRENTHAM VILLAGE.csv
9,ChZDSUhNMG9nS0VJQ0FnSURLd3VpOFB3EAE,"This is one of few stores where I could find stylish petite clothing. But now they dis away with petite section to "" incoprate""  into the store. So disappointed and frustrated. They took away one of there best selections.",1,2021,Massachusetts_Wrentham_WRENTHAM VILLAGE.csv
0,ChZDSUhNMG9nS0VJQ0FnSURSbk9USkVBEAE,Had the best experience today with Adriana. She was so kind and so patient with me while we tried to figure out some pretty confusing merchandise tracking. She managed to find the things I needed and got them sent to my home from another store. Literal lifesaver. Highly recommend her service and forever grateful. 💖💖💖 …,5,2023,Michigan_Auburn Hills_GREAT LAKES CROSSING.csv
1,ChZDSUhNMG9nS0VJQ0FnSUN1cTZQZEZnEAE,Great prices and excellent customer service.  Greeted when entering the store and helpful with questions about several items!,5,2022,Michigan_Auburn Hills_GREAT LAKES CROSSING.csv
2,ChZDSUhNMG9nS0VJQ0FnSURSbktUT1h3EAE,Adriana went above and beyond for me. My groomen in my wedding FAILED to buy their suits and pants for my wedding in time and Adrianna hand called every store to find them for me. She really cares. BRIDES go to banana republic and ask for …,5,2023,Michigan_Auburn Hills_GREAT LAKES CROSSING.csv
3,ChdDSUhNMG9nS0VJQ0FnSUQycXAzczBnRRAB,"Had an encounter with an entitled Karen at this location. Manager did not know how to handle the situation and made it worse by telling me, a customer, to shut up! It's been a couple of years and I've never been back. Not worth my time or money. If I could give a big ""ZERO"" I would.",1,2022,Michigan_Auburn Hills_GREAT LAKES CROSSING.csv
4,ChZDSUhNMG9nS0VJQ0FnSUNLbS1uWWRnEAE,"There were beautiful shirts at discounted prices. I bought a few T-shirts. However, all of them SHRUNK a whole size after the first wash! If I'd have known that before, I could have bought a larger size.",1,2021,Michigan_Auburn Hills_GREAT LAKES CROSSING.csv
5,ChZDSUhNMG9nS0VJQ0FnSURRb2ZxR1V3EAE,This is a pretty large store. It's a hit or miss on finding your size. I wear a size small and had a hard time finding a lot of clothes in my size. They were just out of them. We got a great pair of pants for my husband. He also has trouble finding sizes because his is common. The staff was friendly and helpful.,5,2018,Michigan_Auburn Hills_GREAT LAKES CROSSING.csv
6,ChZDSUhNMG9nS0VJQ0FnSURPeVllaVBnEAE,I could not return a pair of pants I bought a week ago because it was missing 1 tag. The store assistants blamed poor corporate return policies. I will no longer be shopping here,1,2022,Michigan_Auburn Hills_GREAT LAKES CROSSING.csv
7,ChdDSUhNMG9nS0VJQ0FnSURBdVphUmlRRRAB,"I got the impression from walking in that guys who want to dress to impress shop here - whether it be around the home, smart casual or for professional clothes. …",5,2018,Michigan_Auburn Hills_GREAT LAKES CROSSING.csv
8,ChZDSUhNMG9nS0VJQ0FnSUNLaE5Ta1h3EAE,I've gotten great customer service here even when the store is busy I wish I knew her name and I wish more stores had workers like these,5,2021,Michigan_Auburn Hills_GREAT LAKES CROSSING.csv
9,ChZDSUhNMG9nS0VJQ0FnSUQyaUw2T1l3EAE,Love this store can always find something reasonably priced,5,2022,Michigan_Auburn Hills_GREAT LAKES CROSSING.csv
0,ChdDSUhNMG9nS0VJQ0FnSUNwOWVYODl3RRAB,Wife bought a great $40 dress off clearance rack. And I a Jean jacket for $40ish. Online prices are better,3,2023,Michigan_Byron Center_GRAND RAPIDS TANGER.csv
1,ChdDSUhNMG9nS0VJQ0FnSURhNXFDV3dnRRAB,After being a loyal customer for years I had an issue with a return. Changing rooms were closed during Covid and the jeans I bought ran short. Unable to return because I wore them once. Corporate doesn’t respond to emails and the store …,1,2021,Michigan_Byron Center_GRAND RAPIDS TANGER.csv
2,ChdDSUhNMG9nS0VJQ0FnSUNHZ3ZHVHV3RRAB,"Tanger Outlets Grand Rapids
We were there on a saturday busy in general, not forbthos store though...my issue: …",1,2022,Michigan_Byron Center_GRAND RAPIDS TANGER.csv
3,ChZDSUhNMG9nS0VJQ0FnSURZdk1iak1BEAE,"The service was great and I got some cute pieces for a fraction of the cost I'd typically pay at Banana. However, my size is hard to come by at the Factory Store...please stock more 0P and 00P!",4,2019,Michigan_Byron Center_GRAND RAPIDS TANGER.csv
4,ChZDSUhNMG9nS0VJQ0FnSUNveFkzaVJnEAE,"Great bargains. As in all outlet stores, it's hit and miss. They generally have far more of the smaller sizes. You can use your gap/banana money there, so if you find a treasure, it can be an extremely good deal.",4,2019,Michigan_Byron Center_GRAND RAPIDS TANGER.csv
5,ChZDSUhNMG9nS0VJQ0FnSUMtekxPZENREAE,I came to this store twice in the last four weeks. They were closed early.,1,2023,Michigan_Byron Center_GRAND RAPIDS TANGER.csv
6,ChdDSUhNMG9nS0VJQ0FnSUNpN1lfOXdRRRAB,Will never go in this store again found something I liked some face mask and went to use my 10 dollar coupon that I  got as a Birthday gift from tanger and was told I could not use it on them them store policy  it tells you what you can not use it on on the coupon says nothing about mask,1,2021,Michigan_Byron Center_GRAND RAPIDS TANGER.csv
7,ChZDSUhNMG9nS0VJQ0FnSURZcUt5VUxREAE,"Fairly large factory outlet, plenty of people working at a time to help with whatever you may need, and kept clean and organized. I especially like this location because they have a decent petite size collection.",5,2019,Michigan_Byron Center_GRAND RAPIDS TANGER.csv
8,ChZDSUhNMG9nS0VJQ0FnSURJOUpLcVR3EAE,We had a great experience  you have such nice staff very friendly and helpful will always  keep going back one of my favorite stores at tanger outlet mall.  Merry Christmas,5,2019,Michigan_Byron Center_GRAND RAPIDS TANGER.csv
9,ChdDSUhNMG9nS0VJQ0FnSUMwNFppNXVnRRAB,"Nice clothes but some items you really have to watch.  I have 2 shirts that have little  holes in them,don't buy much there any more.",3,2019,Michigan_Byron Center_GRAND RAPIDS TANGER.csv
